unit,task,trial_id,wave_id,condition,normalized_action_channel,channel_value_count,channel_rms
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,8,16,0.015652751550078392
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,9,16,0.010017624124884605
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,10,16,0.005337697919458151
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,11,16,0.002303571905940771
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,12,16,0.0020796782337129116
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,13,16,0.0027621358167380095
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,28,16,0.001953125
Pick / T21,pick_diverse_bottles,21,0,rtc_vs_fbfm_cache_switch,29,16,0.0033829116728156805
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,0,16,0.00033430333132855594
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,1,16,0.0005294602015055716
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,2,16,0.001718765590339899
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,3,16,0.00040486143552698195
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,4,16,0.00025962371728383005
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,5,16,0.0002862802648451179
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,6,16,0.0
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,7,16,0.001953125
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,8,16,0.001035800902172923
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,9,16,0.0014920099638402462
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,10,16,0.0009765625
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,11,16,0.0003771730698645115
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,12,16,0.00039437401574105024
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,13,16,0.0
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,28,16,0.0009765625
Pick / T21,pick_diverse_bottles,21,0,same_cache_repeat_floor,29,16,0.0033829116728156805
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,0,16,0.03802955523133278
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,1,16,0.015160326845943928
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,2,16,0.004256737418472767
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,3,16,0.0013810679083690047
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,4,16,0.002596988109871745
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,5,16,0.005925716832280159
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,6,16,0.0029296875
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,7,16,0.030804317444562912
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,8,16,0.02055426314473152
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,9,16,0.010874539613723755
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,10,16,0.024964498355984688
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,11,16,0.00785993505269289
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,12,16,0.002144932048395276
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,13,16,0.009212872013449669
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,28,16,0.0016914558364078403
Pick / T21,pick_diverse_bottles,21,1,rtc_vs_fbfm_cache_switch,29,16,0.0027621358167380095
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,0,16,0.0006905339541845024
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,1,16,0.0013810679083690047
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,2,16,0.0009765625
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,3,16,0.0008457279182039201
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,4,16,0.00040471763350069523
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,5,16,0.00047080227523110807
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,6,16,0.0016914558364078403
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,7,16,0.0016914558364078403
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,8,16,0.0010641843546181917
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,9,16,0.0013810679083690047
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,10,16,0.0011960399569943547
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,11,16,0.00042969139758497477
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,12,16,0.0005033087800256908
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,13,16,0.0009765625
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,28,16,0.0016914558364078403
Pick / T21,pick_diverse_bottles,21,1,same_cache_repeat_floor,29,16,0.0027621358167380095
